,Instrument,ESG Controversies Score Grade,ESG Controversies Score,Date,,TR.TRESGCCONTROVERSIESSCOREGRADE,TR.TRESGCCONTROVERSIESSCORE,TR.TRESGCCONTROVERSIESSCORE.DATE
1,SAPG.DE,C,41.1538461538461,2021-12-31T00:00:00Z,,,,
2,SAPG.DE,A+,98.9130434782608,2020-12-31T00:00:00Z,,,,
3,SAPG.DE,A,87.1212121212121,2019-12-31T00:00:00Z,,,,
4,SAPG.DE,D,10.8333333333333,2018-12-31T00:00:00Z,,,,
5,SAPG.DE,C-,27.906976744186,2017-12-31T00:00:00Z,,,,
6,SAPG.DE,A-,79.0322580645161,2016-12-31T00:00:00Z,,,,
7,SAPG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
8,SAPG.DE,B+,71.6666666666666,2014-12-31T00:00:00Z,,,,
9,SAPG.DE,A+,100.0,2013-12-31T00:00:00Z,,,,
10,SAPG.DE,A+,92.4242424242424,2012-12-31T00:00:00Z,,,,
0,SATG.DE,A+,100.0,2021-12-31T00:00:00Z,,,,
1,SATG.DE,A+,100.0,2020-12-31T00:00:00Z,,,,
2,SATG.DE,A+,100.0,2019-12-31T00:00:00Z,,,,
3,SATG.DE,A+,100.0,2018-12-31T00:00:00Z,,,,
4,SATG.DE,A+,100.0,2017-12-31T00:00:00Z,,,,
5,SATG.DE,A+,100.0,2016-12-31T00:00:00Z,,,,
6,SATG.DE,A+,100.0,2015-12-31T00:00:00Z,,,,
0,SIEGn.DE,A+,100.0,2022-09-30T00:00:00Z,,,,
1,SIEGn.DE,A-,80.0,2021-09-30T00:00:00Z,,,,
2,SIEGn.DE,C,40.2173913043478,2020-09-30T00:00:00Z,,,,
3,SIEGn.DE,D+,18.1818181818181,2019-09-30T00:00:00Z,,,,
4,SIEGn.DE,C-,25.8333333333333,2018-09-30T00:00:00Z,,,,
5,SIEGn.DE,B+,68.6046511627907,2017-09-30T00:00:00Z,,,,
6,SIEGn.DE,B+,69.2307692307692,2016-09-30T00:00:00Z,,,,
7,SIEGn.DE,B+,72.7272727272727,2015-09-30T00:00:00Z,,,,
8,SIEGn.DE,C,33.3333333333333,2014-09-30T00:00:00Z,,,,
9,SIEGn.DE,C-,26.9230769230769,2013-09-30T00:00:00Z,,,,
10,SIEGn.DE,C,37.5,2012-09-30T00:00:00Z,,,,
0,ENR1n.DE,B,62.5,2022-09-30T00:00:00Z,,,,
1,ENR1n.DE,B-,57.6923076923076,2021-09-30T00:00:00Z,,,,
